,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
296,API3USDT,FLMUSDT,0.0,-5.11,-3.37,18.07,60
1713,DOTUSDT,ETCUSDT,0.02,-3.65,-3.37,0.29,57
1951,GLMRUSDT,SHIB1000USDT,0.0,-4.19,-3.37,39.21,51
607,BATUSDT,OMGUSDT,0.0,-5.16,-3.37,0.2,50
2148,ICPUSDT,XTZUSDT,0.0,-4.48,-3.37,3.9,50
1685,DGBUSDT,MINAUSDT,0.01,-4.05,-3.37,0.01,50
1561,CTCUSDT,ROSEUSDT,0.0,-5.88,-3.37,8.09,50
1542,CTCUSDT,FLOWUSDT,0.0,-4.76,-3.37,0.31,50
2426,LITUSDT,WAVESUSDT,0.0,-4.51,-3.37,0.31,49
1818,ETCUSDT,RNDRUSDT,0.0,-5.36,-3.37,41.01,49
1553,CTCUSDT,LUNA2USDT,0.0,-5.16,-3.37,0.23,49
2157,ILVUSDT,DOTUSDT,0.04,-3.4,-3.37,7.62,49
3052,SLPUSDT,CTKUSDT,0.0,-4.28,-3.37,0.0,49
2951,RNDRUSDT,LINAUSDT,0.0,-4.76,-3.37,79.02,47
3269,TLMUSDT,TRBUSDT,0.0,-7.94,-3.37,0.0,47
1320,CELUSDT,JSTUSDT,0.03,-3.55,-3.37,23.52,47
28,1INCHUSDT,DGBUSDT,0.01,-4.02,-3.37,75.48,46
80,AAVEUSDT,XNOUSDT,0.0,-5.15,-3.37,98.84,46
1695,DGBUSDT,TOMOUSDT,0.01,-4.04,-3.37,0.02,45
2291,KDAUSDT,BNBUSDT,0.01,-3.95,-3.37,0.0,45
1364,CHRUSDT,CTCUSDT,0.0,-4.8,-3.37,0.3,45
1855,FILUSDT,GLMRUSDT,0.0,-5.19,-3.37,12.12,45
2124,ICPUSDT,IMXUSDT,0.03,-3.58,-3.37,9.37,44
2939,RENUSDT,ZECUSDT,0.0,-5.19,-3.37,0.0,44
2418,LINKUSDT,RSRUSDT,0.0,-4.67,-3.37,1494.37,44
1570,CTCUSDT,WAVESUSDT,0.0,-5.52,-3.37,0.16,44
197,ALICEUSDT,NEOUSDT,0.0,-5.09,-3.37,0.18,44
2395,LINAUSDT,OGNUSDT,0.0,-4.12,-3.37,0.06,44
3027,SANDUSDT,DOTUSDT,0.01,-3.89,-3.37,0.1,43
1717,DOTUSDT,LINAUSDT,0.01,-3.82,-3.37,944.54,43
1720,DOTUSDT,RNDRUSDT,0.01,-3.8,-3.37,11.95,43
269,ANKRUSDT,SLPUSDT,0.02,-3.65,-3.37,8.45,43
2184,INJUSDT,1000BTTUSDT,0.02,-3.63,-3.37,2575.3,43
1858,FILUSDT,HOTUSDT,0.04,-3.39,-3.37,2787.05,43
356,AUDIOUSDT,CTCUSDT,0.0,-4.25,-3.37,0.4,43
2341,KDAUSDT,SLPUSDT,0.0,-5.21,-3.37,353.19,43
1938,GALUSDT,TLMUSDT,0.0,-4.78,-3.37,93.33,43
323,ARPAUSDT,CTCUSDT,0.02,-3.75,-3.37,0.07,43
1716,DOTUSDT,INJUSDT,0.01,-3.9,-3.37,3.31,43
