,DOTUSDT,ETCUSDT,spread,Zscore
0,5.725,19.945,-0.05905000000000005,
1,5.79,20.02,-0.015799999999999592,
2,5.852,19.945,0.06795000000000062,
3,5.892,20.138,0.05198000000000036,
4,5.855,20.06,0.03760000000000119,
5,5.907,20.05,0.09250000000000025,
6,5.83,20.002,0.02942000000000089,
7,5.795,19.968,0.004280000000000506,
8,5.807,20.094,-0.0202599999999995,
9,5.8,20.08,-0.02319999999999922,
10,5.772,19.834,0.02014000000000049,
11,5.732,19.775,-0.00274999999999892,
12,5.762,19.822,0.01362000000000041,
13,5.789,19.888,0.0214799999999995,
14,5.675,19.694,-0.036259999999999515,
15,5.565,19.298,-0.03141999999999889,
16,5.585,19.348,-0.025919999999999277,
17,5.623,19.25,0.04050000000000065,
18,5.582,19.105,0.041549999999999976,
19,5.565,18.98,0.06080000000000041,
20,5.746,19.991,-0.051389999999998714,-1.4873147433661544
21,5.796,20.231,-0.07099000000000011,-1.897535226991824
22,5.838,20.3,-0.04899999999999949,-1.2950602803953124
23,5.86,20.165,0.012150000000000993,0.1592669909156534
24,5.815,20.244,-0.055759999999999366,-1.3179260260265366
25,5.855,20.12,0.020200000000000884,0.4930099219545619
26,5.847,20.377,-0.06232999999999844,-1.4239214538450933
27,5.833,20.138,-0.007019999999999804,0.06916309193080027
28,5.776,20.079,-0.04690999999999956,-0.9176457613743049
29,5.855,20.028,0.04688000000000159,1.3913905850935901
30,5.85,19.95,0.06450000000000067,1.6106346048464526
31,5.896,20.064,0.07744000000000018,1.714850979940034
32,5.863,20.127,0.02617000000000136,0.5724523916842748
33,5.804,19.82,0.05620000000000047,1.1346495232198703
34,5.839,19.935,0.05785000000000107,1.1012756951564642
35,5.86,20.073,0.03883000000000081,0.649603740691286
36,5.84,20.058,0.02317999999999998,0.28363848463563895
37,5.894,20.47,-0.042299999999999116,-1.030693798605982
38,5.844,20.258,-0.030819999999999403,-0.7272589672842918
39,5.91,20.422,-0.012379999999999391,-0.306731355586474
40,5.924,20.47,-0.012299999999998867,-0.2427905646314193
41,5.964,20.43,0.03930000000000078,0.7712269355460193
42,5.915,20.39,0.0019000000000000128,-0.11663941473610002
43,5.91,20.235,0.04185000000000105,0.7303536543575021
44,5.945,20.343,0.04553000000000029,0.7681077217432116
45,5.921,20.52,-0.02979999999999894,-1.0762657619251534
46,5.985,20.59,0.013900000000000468,0.0026052982509604905
47,5.99,20.507,0.0429700000000004,0.6485974864152159
48,6.0,20.578,0.03238000000000074,0.3171549529843754
49,5.94,20.475,0.0022500000000000853,-0.6145824161846236
50,6.07,20.595,0.09745000000000115,1.9350444014524502
51,6.086,20.775,0.06125000000000114,0.9708132727990948
52,6.05,20.62,0.07019999999999982,1.2376651338221183
53,6.042,20.71,0.03610000000000024,0.29173123101060955
54,6.015,20.731,0.003009999999999735,-0.547875311593251
55,6.078,20.682,0.08022000000000151,1.495346257280816
56,6.0,20.345,0.09995000000000065,1.780569434117184
57,5.94,20.46,0.006600000000000605,-0.4713300951585186
58,5.99,20.42,0.06820000000000004,0.9425873586357192
59,5.945,20.433,0.019430000000000724,-0.3904207137466628
60,5.96,20.475,0.02224999999999966,-0.37298344081008183
61,5.998,20.56,0.03560000000000141,-0.06117767700091242
62,5.965,20.324,0.07103999999999999,0.9319940183761591
63,6.009,20.487,0.06777000000000122,0.7573795575205853
64,5.959,20.547,0.0003700000000002035,-1.1458963973088614
65,6.0,20.595,0.027450000000000863,-0.34354390300259025
66,6.015,20.536,0.05955999999999939,0.5055184766664688
67,5.98,20.576,0.012960000000000527,-0.978074278177525
68,5.99,20.558,0.02818000000000076,-0.4681482861552323
69,5.96,20.48,0.020800000000000374,-0.6780888628849073
70,5.905,20.25,0.03250000000000064,-0.37068203142981754
71,5.879,20.245,0.007949999999999235,-1.0919504043353379
72,5.84,20.281,-0.04148999999999958,-2.2768474165644155
73,5.836,20.19,-0.019099999999999895,-1.440853432571066
74,5.841,20.156,-0.004239999999999355,-0.9315408823462764
75,5.78,19.942,-0.0031799999999995165,-0.8867309552668522
76,5.773,19.915,-0.002349999999999852,-0.7857717340557471
